census_geoid,census_name,year,avg_total_lmp,avg_energy,avg_congestion,avg_loss,n_pnodes,inefficient_pricing,first_entry_year,treated,event_time,weight,group
51003010300,103.0,2015,36.288606544901064,33.33905136986301,3.1994729832572317,-0.2499178082191781,3,2.9495551750380535,,0,,0.5,control
51003010300,103.0,2016,29.559130616272014,27.524867941712206,2.3748743928354585,-0.34061171827565256,3,2.034262674559806,,0,,0.5,control
51003010300,103.0,2017,31.10987062404871,29.38840982488584,1.8892541856925416,-0.1677933789954337,3,1.7214608066971078,,0,,0.5,control
51003010300,103.0,2018,38.520143455098946,35.69340182648401,3.099526255707758,-0.2728032724505327,3,2.826722983257225,,0,,0.5,control
51003010300,103.0,2019,26.99780403348554,25.97994634703196,1.225924277016742,-0.20792275494672743,3,1.0180015220700145,,0,,0.5,control
51003010300,103.0,2020,21.304860352155426,20.62579007285974,0.849453551912568,-0.17024020947176696,3,0.679213342440801,,0,,0.5,control
51003010300,103.0,2021,40.8065,38.12522260273973,2.71315410958904,-0.031638127853881204,3,2.6815159817351586,,0,,0.5,control
51003010300,103.0,2022,78.92358713850835,73.38870547945204,5.240882039573823,0.294439497716895,3,5.535321537290718,,0,,0.5,control
51003010300,103.0,2023,35.34018911719938,29.612191780821917,5.6145399543379,0.11389269406392687,3,5.728432648401827,,0,,0.5,control
51003010300,103.0,2024,34.48935982088644,31.229977231329688,3.3366146782027903,-0.0769903612629022,3,3.259624316939888,,0,,0.5,control
51003010300,103.0,2025,51.278142694063924,46.76924429223745,4.48448515981735,0.0246955859969559,3,4.509180745814306,,0,,0.5,control
51003011202,112.02,2015,36.65731430745816,33.33905136986301,3.1858203957382045,0.13244254185692547,3,3.31826293759513,,0,,0.5,control
51003011202,112.02,2016,30.4476813904068,27.524867941712206,3.139965467516696,-0.21715201882210078,3,2.9228134486945954,,0,,0.5,control
51003011202,112.02,2017,30.332356164383555,29.38840982488584,1.0294311263318108,-0.08548477929984781,3,0.943946347031963,,0,,0.5,control
51003011202,112.02,2018,39.12950456621004,35.69340182648401,3.292140030441397,0.14413812785388122,3,3.436278158295278,,0,,0.5,control
51003011202,112.02,2019,27.54794786910198,25.97994634703196,1.260393455098934,0.3080471841704719,3,1.568440639269406,,0,,0.5,control
51003011202,112.02,2020,21.56001442015787,20.62579007285974,0.9604549939283541,-0.025951350941105036,3,0.9345036429872491,,0,,0.5,control
51003011202,112.02,2021,43.42976902587518,38.12522260273973,4.851380517503807,0.45360654490106556,3,5.304987062404872,,0,,0.5,control
51003011202,112.02,2022,77.69574771689499,73.38870547945204,3.2350475646879766,1.072533105022831,3,4.307580669710807,,0,,0.5,control
51003011202,112.02,2023,31.74210235920852,29.612191780821917,1.863693683409437,0.2667378234398783,3,2.130431506849315,,0,,0.5,control
51003011202,112.02,2024,33.400887219186416,31.22997723132966,2.03238122343655,0.1389374620522161,3,2.171318685488766,,0,,0.5,control
51003011202,112.02,2025,50.79071499238963,46.76924429223747,3.660486301369865,0.3614147640791477,3,4.021901065449013,,0,,0.5,control
51013101100,1011.0,2015,37.87595148401827,33.33905136986301,3.65668207762557,0.8802180365296803,2,4.53690011415525,,0,,1.0,control
51013101100,1011.0,2016,31.02018784153006,27.52486794171221,3.013933287795995,0.4813866120218578,2,3.4953198998178525,,0,,1.0,control
51013101100,1011.0,2017,31.83430650684931,29.38840982488584,1.808257990867581,0.637638698630137,2,2.445896689497718,,0,,1.0,control
51013101100,1011.0,2018,39.19477853881278,35.69340182648401,2.7451358447488565,0.7566158675799084,2,3.501751712328765,,0,,1.0,control
51013101100,1011.0,2019,27.91717408675799,25.979946347031955,1.4411489726027393,0.49673801369863024,2,1.9378869863013697,,0,,1.0,control
51013101100,1011.0,2020,22.299717099271405,20.62579007285974,1.428055555555555,0.2462596766848816,2,1.6743152322404367,,0,,1.0,control
51013101100,1011.0,2021,42.617853310502284,38.125222602739726,3.6516312785388125,0.8415839041095889,2,4.4932151826484015,,0,,1.0,control
51013101100,1011.0,2022,86.89585388127854,73.38870547945204,11.092319063926944,2.4155759132420096,2,13.507894977168952,,0,,1.0,control
51013101100,1011.0,2023,36.29242865296804,29.612191780821913,5.787247716894978,0.8936472602739727,2,6.6808949771689505,,0,,1.0,control
51013101100,1011.0,2024,37.52817566029145,31.229977231329677,5.24628415300546,1.0524601548269577,2,6.2987443078324175,,0,,1.0,control
51013101100,1011.0,2025,60.32398287671229,46.76924429223748,11.699808219178083,1.8555091324200919,2,13.555317351598175,,0,,1.0,control
51013101300,1013.0,2015,38.02490334855403,33.33905136986301,3.653076864535768,1.032775114155251,3,4.685851978691019,,0,,0.5,control
51013101300,1013.0,2016,31.097992562234367,27.524867941712206,3.001506147540985,0.5716184729811778,3,3.573124620522163,,0,,0.5,control
51013101300,1013.0,2017,31.944908675799073,29.38840982488584,1.8043249619482502,0.7521738964992389,3,2.556498858447489,,0,,0.5,control
51013101300,1013.0,2018,39.34137366818874,35.69340182648401,2.7321697108066965,0.9161651445966518,3,3.6483348554033483,,0,,0.5,control
51013101300,1013.0,2019,28.03508866057838,25.979946347031955,1.4384364535768641,0.6172796803652969,3,2.055716133942161,,0,,0.5,control
51013101300,1013.0,2020,22.373816408621735,20.62579007285974,1.4212503794778384,0.32733113236187,3,1.7485815118397083,,0,,0.5,control
51013101300,1013.0,2021,42.76277701674277,38.125222602739726,3.6403181126331816,0.9978165905631657,3,4.638134703196347,,0,,0.5,control
51013101300,1013.0,2022,86.98981544901066,73.38870547945204,10.882834094368347,2.7189486301369867,3,13.601782724505334,,0,,0.5,control
51013101300,1013.0,2023,36.35189535768646,29.612191780821913,5.7538778538812805,0.9864942922374434,3,6.740372146118724,,0,,0.5,control
51013101300,1013.0,2024,37.62231709168185,31.229977231329666,5.213516621129323,1.1794023224043721,3,6.3929189435336955,,0,,0.5,control
51013101300,1013.0,2025,60.411345509893444,46.76924429223743,11.583559360730591,2.059106544901065,3,13.642665905631656,,0,,0.5,control
51013101404,1014.04,2018,35.53764597795018,32.90101674152715,1.9260514495712548,0.7110065332788893,2,2.637057982850144,,0,,1.0,control
51013101404,1014.04,2019,27.974272260273978,25.979946347031955,1.4381255707762557,0.556814497716895,2,1.9949400684931506,,0,,1.0,control
51013101404,1014.04,2020,22.344855988160294,20.625790072859743,1.419522427140255,0.30000284608378874,2,1.7195252732240436,,0,,1.0,control
51013101404,1014.04,2021,42.704750570776255,38.12522260273973,3.638691780821918,0.9414355022831049,2,4.580127283105023,,0,,1.0,control
51013101404,1014.04,2022,86.89920433789953,73.38870547945206,10.87809589041096,2.6331198630136994,2,13.511215753424658,,0,,1.0,control
51013101404,1014.04,2023,36.34276826484018,29.612191780821917,5.753495433789954,0.9776780821917807,2,6.731173515981735,,0,,1.0,control
51013101404,1014.04,2024,37.568456284153015,31.229977231329677,5.212962773224038,1.1260524817850637,2,6.339015255009102,,0,,1.0,control
51013101404,1014.04,2025,60.335837328767184,46.769244292237424,11.581507990867578,1.9856546803652972,2,13.567162671232875,,0,,1.0,control
51013102802,1028.02,2015,38.06811187214611,33.33905136986301,3.6510331050228295,1.078027397260274,4,4.729060502283104,,0,,0.5,control
51013102802,1028.02,2016,31.14368084016393,27.52486794171221,2.99445355191257,0.6243593465391621,4,3.618812898451732,,0,,0.5,control
51013102802,1028.02,2017,32.00000171232877,29.38840982488584,1.8020667808219186,0.8095251141552511,4,2.6115918949771695,,0,,0.5,control
51013102802,1028.02,2018,39.39995062785387,35.69340182648401,2.7244797374429206,0.9824383561643837,4,3.706918093607304,,0,,0.5,control
51013102802,1028.02,2019,28.034810216894975,25.979946347031955,1.4369115296803647,0.6186041666666667,4,2.0555156963470314,,0,,0.5,control
51013102802,1028.02,2020,22.40415841302368,20.625790072859736,1.4174698315118397,0.36142389571948996,4,1.7788937272313297,,0,,0.5,control
51013102802,1028.02,2021,42.81214069634703,38.125222602739726,3.635990296803654,1.051500285388128,4,4.687490582191782,,0,,0.5,control
51013102802,1028.02,2022,86.89789611872146,73.38870547945206,10.655601598173511,2.8543007990867584,4,13.50990239726027,,0,,0.5,control
51013102802,1028.02,2023,36.360480593607306,29.612191780821913,5.7148535958904105,1.0340633561643835,4,6.748916952054794,,0,,0.5,control
